HeP0203,Polito,14Hz,4277311,05/10/2016 14:53:56.8094,Calibration Billet D
Date & Time,Pressure (psia),Temperature (C),Pressure (VDC)
05/10/2016 14:58:46.6150, 215.49330092,  30.35606316,   4.43461084
05/10/2016 14:58:47.6151, 215.49383426,  30.35829163,   4.43461936
05/10/2016 14:58:48.6151, 215.49334359,  30.36134379,   4.43461152
05/10/2016 14:58:49.6142, 215.49185022,  30.35872800,   4.43458768
05/10/2016 14:58:50.6142, 215.48975738,  30.35596602,   4.43455427
05/10/2016 14:58:51.6143, 215.49085394,  30.35501330,   4.43457178
05/10/2016 14:58:52.6144, 215.48819788,  30.35176740,   4.43452937
05/10/2016 14:58:53.6134, 215.48836642,  30.35297857,   4.43453206
05/10/2016 14:58:54.6135, 215.48493809,  30.34898962,   4.43447733
05/10/2016 14:58:55.6135, 215.48658932,  30.34198066,   4.43450369
05/10/2016 14:58:56.6136, 215.48545650,  30.34301417,   4.43448561
05/10/2016 14:58:57.3986, 215.48798455,  30.34186745,   4.43452597
05/10/2016 14:58:57.4706, 215.47809848,  30.34119034,   4.43436813
05/10/2016 14:58:57.5416, 215.48156309,  30.34096336,   4.43442345
05/10/2016 14:58:57.6126, 215.48580424,  30.34096336,   4.43449116
05/10/2016 14:58:57.6836, 215.48036840,  30.35023308,   4.43440437
05/10/2016 14:58:57.7567, 215.48410180,  30.34164238,   4.43446398
05/10/2016 14:58:57.8277, 215.48108521,  30.34706879,   4.43441582
05/10/2016 14:58:57.8987, 215.48159295,  30.33712006,   4.43442392
05/10/2016 14:58:57.9707, 215.47779981,  30.33395386,   4.43436337
05/10/2016 14:58:58.0417, 215.48622238,  30.34186745,   4.43449783
05/10/2016 14:58:58.1127, 215.47785955,  30.33033752,   4.43436432
05/10/2016 14:58:58.1847, 215.48705866,  30.34684181,   4.43451118
05/10/2016 14:58:58.2557, 215.48081640,  30.34480667,   4.43441153
05/10/2016 14:58:58.3277, 215.48293698,  30.34141541,   4.43444538
05/10/2016 14:58:58.3987, 215.47122901,  30.33644104,   4.43425846
05/10/2016 14:58:58.4707, 215.47624671,  30.33938026,   4.43433857
05/10/2016 14:58:58.5417, 215.48144362,  30.33576393,   4.43442154
05/10/2016 14:58:58.6127, 215.48487835,  30.32694435,   4.43447638
05/10/2016 14:58:58.6847, 215.48332525,  30.34819794,   4.43445158
05/10/2016 14:58:58.7547, 215.47842702,  30.33327675,   4.43437338
05/10/2016 14:58:58.8267, 215.48054760,  30.33350182,   4.43440723
05/10/2016 14:58:58.8987, 215.47684406,  30.32897949,   4.43434811
05/10/2016 14:58:58.9707, 215.47741154,  30.36379814,   4.43435717
05/10/2016 14:58:59.0417, 215.48048786,  30.32400513,   4.43440628
05/10/2016 14:58:59.1127, 215.48457968,  30.35543251,   4.43447161
05/10/2016 14:58:59.1847, 215.47376773,  30.33372879,   4.43429899
05/10/2016 14:58:59.2557, 215.47382746,  30.33983231,   4.43429995
05/10/2016 14:58:59.3267, 214.15545665,  30.34209442,   4.41325188
05/10/2016 14:58:59.3987, 153.31049780,  30.33372879,   3.44184923
05/10/2016 14:58:59.4707,  78.49215536,  30.34458160,   2.24735856
05/10/2016 14:58:59.5418,  80.49590517,  30.32468414,   2.27934885
05/10/2016 14:58:59.6128,  81.76396457,  30.36176300,   2.29959369
05/10/2016 14:58:59.6848,  82.88488292,  30.31677055,   2.31748939
05/10/2016 14:58:59.7558,  83.79564027,  30.34503365,   2.33202982
05/10/2016 14:58:59.8258,  84.43076759,  30.33779716,   2.34216976
05/10/2016 14:58:59.8988,  84.87071236,  30.31337929,   2.34919357
05/10/2016 14:58:59.9698,  85.18536397,  30.36357307,   2.35421705
05/10/2016 14:59:00.0418,  85.40814387,  30.31699562,   2.35777378
05/10/2016 14:59:00.1128,  85.57816326,  30.33960724,   2.36048818
05/10/2016 14:59:00.1848,  85.69285355,  30.34797287,   2.36231923
05/10/2016 14:59:00.2558,  85.78813011,  30.34141541,   2.36384034
05/10/2016 14:59:00.3268,  85.85603333,  30.33621597,   2.36492443
05/10/2016 14:59:00.3988,  85.90167051,  30.34842491,   2.36565304
05/10/2016 14:59:00.4698,  85.92962627,  30.34322357,   2.36609936
05/10/2016 14:59:00.5408,  85.96086742,  30.34164238,   2.36659813
05/10/2016 14:59:00.6128,  85.97371035,  30.33553696,   2.36680317
05/10/2016 14:59:00.6848,  85.97057428,  30.33960724,   2.36675310
05/10/2016 14:59:00.7558,  85.98625460,  30.33960724,   2.36700344
05/10/2016 14:59:00.8268,  85.98514951,  30.33440590,   2.36698580
05/10/2016 14:59:00.8978,  85.98052008,  30.33983231,   2.36691189
05/10/2016 14:59:00.9698,  85.97371035,  30.33983231,   2.36680317
05/10/2016 14:59:01.0408,  85.96624353,  30.33712006,   2.36668396
05/10/2016 14:59:01.1118,  85.95755216,  30.33463287,   2.36654520
05/10/2016 14:59:01.1848,  85.96131543,  30.34005928,   2.36660528
05/10/2016 14:59:01.2559,  85.94627727,  30.33418083,   2.36636519
05/10/2016 14:59:01.3269,  85.94901012,  30.33124161,   2.36640882
05/10/2016 14:59:01.3989,  85.93492771,  30.33779716,   2.36618400
05/10/2016 14:59:01.4699,  85.90968987,  30.33734512,   2.36578107
05/10/2016 14:59:01.5409,  85.90192438,  30.33825111,   2.36565709
05/10/2016 14:59:01.6129,  85.89082869,  30.33779716,   2.36547995
05/10/2016 14:59:01.6839,  85.88251066,  30.33779716,   2.36534715
05/10/2016 14:59:01.7549,  85.87694042,  30.33734512,   2.36525822
05/10/2016 14:59:01.8269,  85.86783090,  30.33666801,   2.36511278
05/10/2016 14:59:01.8989,  85.85498798,  30.33734512,   2.36490774
05/10/2016 14:59:01.9689,  85.84390723,  30.33644104,   2.36473083
05/10/2016 14:59:02.0409,  85.83378222,  30.34887695,   2.36456919
